Country,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male
Uganda,2012,2.5,7.8000002,14.1,1.5,1456756,141007,1315749
Ukraine,2012,20.1,26.5,46.5,10.1,10474520,2184655,8289866
United Arab Emirates,2012,17.6,15.8,20.799999,1.7,1244846,35937,1208909
United Kingdom,2012,13.6,20.1,21.700001,18.700001,10355707,4910684,5445024
United States,2012,22.5,15.3,16.9,13.7,38325132,17655144,20669990
Uruguay,2012,25.4,22.200001,26.5,18.4,588429,255164,333264
Uzbekistan,2012,24.700001,11.2,21.0,1.6,2263776,164455,2099321
Vanuatu,2012,4.6999998,16.299999,29.5,3.0999999,25254,2412,22842
Venezuela,2012,19.6,16.6,21.6,11.6,3530702,1239124,2291578
Vietnam,2012,13.9,20.700001,40.900002,1.5,14464714,530579,13934135
World,2012,17.700001,18.6,31.1,6.1999998,967313733,160033187,807280565
Yemen,2012,30.4,14.3,22.9,5.6999998,2017418,399384,1618034
Zambia,2012,7.1999998,11.4,20.799999,2.0999999,854674,79548,775126
Zimbabwe,2012,20.6,11.3,21.299999,1.9,929016,78120,850896
